                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3557,                 4.7858,                 4.2893,                0.00253,                 0.2695,                0.00182,                0.00053,                 3.5225,                 4.7831,                  4.158,                0.00036,                0.00036,                0.00036
                      2,                 3.3337,                 4.2947,                  4.085,                0.00167,                 0.1773,                0.00133,                0.00044,                 3.5246,                 4.6465,                 4.1684,             0.00070337,             0.00070337,             0.00070337
                      3,                  2.972,                 3.9039,                 3.7818,                0.00193,                0.20567,                0.00171,                0.00051,                 3.5441,                  4.401,                 4.2831,              0.0010091,              0.0010091,              0.0010091
                      4,                 2.8201,                 3.5569,                 3.4659,                0.00167,                 0.1773,                0.00359,                0.00111,                 3.5662,                 4.5247,                 4.3861,              0.0012773,              0.0012773,              0.0012773
                      5,                 2.6541,                 3.2501,                 3.2221,                0.00167,                 0.1383,                0.00113,                0.00037,                 3.5762,                 4.5907,                 4.3971,              0.0015078,              0.0015078,              0.0015078
                      6,                 2.5818,                 3.1274,                 3.0724,                0.00153,                0.16312,                0.00116,                0.00034,                 3.5859,                   4.49,                 4.3835,               0.001505,               0.001505,               0.001505
                      7,                 2.4309,                 2.8847,                 2.8978,                 0.1408,                0.14295,                0.05489,                0.01618,                 2.5873,                 3.4836,                  3.044,               0.001505,               0.001505,               0.001505
                      8,                 2.3533,                  2.738,                 2.7787,                 0.2005,                0.36525,                0.21174,                0.08397,                 2.2683,                 2.9503,                 2.5965,               0.001406,               0.001406,               0.001406
                      9,                 2.3001,                 2.5814,                 2.7432,                0.32649,                0.41601,                0.31582,                0.14626,                  2.203,                  2.751,                 2.5636,               0.001307,               0.001307,               0.001307
                     10,                 2.2344,                 2.4087,                 2.6718,                0.34482,                 0.4539,                0.35087,                0.17642,                 2.1404,                  2.504,                 2.4154,               0.001208,               0.001208,               0.001208
                     11,                 2.0971,                 2.7015,                 2.5493,                0.43625,                0.38298,                0.39863,                0.17904,                 2.3515,                 2.7438,                 2.6696,               0.001109,               0.001109,               0.001109
                     12,                 2.0625,                 2.5153,                 2.5394,                0.56011,                 0.3227,                0.38756,                0.18274,                 2.2854,                 2.8836,                 2.6108,                0.00101,                0.00101,                0.00101
                     13,                 1.9863,                 2.3564,                 2.4454,                0.49281,                0.46515,                0.43299,                0.20402,                 2.2409,                 2.6162,                 2.5773,               0.000911,               0.000911,               0.000911
                     14,                 1.9113,                 2.2777,                 2.4083,                0.52468,                0.53627,                 0.5354,                0.29815,                 1.9168,                 2.3364,                 2.3724,               0.000812,               0.000812,               0.000812
                     15,                 1.8637,                 2.1698,                 2.3445,                0.57186,                0.56383,                0.54858,                0.32213,                 1.9087,                 2.2087,                 2.3102,               0.000713,               0.000713,               0.000713
                     16,                 1.8636,                 2.0852,                 2.3653,                 0.6937,                0.58511,                0.66816,                0.39597,                 1.7965,                 2.1619,                 2.1968,               0.000614,               0.000614,               0.000614
                     17,                 1.8236,                 2.0281,                 2.3125,                0.70948,                0.57801,                0.65123,                 0.4015,                 1.7393,                 2.1339,                 2.2518,               0.000515,               0.000515,               0.000515
                     18,                 1.7856,                 1.9792,                 2.3113,                0.66782,                0.58459,                 0.6582,                 0.4034,                 1.8235,                 2.0399,                 2.2659,               0.000416,               0.000416,               0.000416
                     19,                 1.7354,                 1.9605,                 2.2399,                0.80088,                0.67021,                0.78549,                0.50189,                 1.6904,                 1.7963,                 2.1113,               0.000317,               0.000317,               0.000317
                     20,                 1.6961,                  1.891,                 2.2159,                0.76583,                0.66103,                0.76069,                0.50219,                 1.6103,                 1.7591,                 2.0476,               0.000218,               0.000218,               0.000218
